,Nickname,Visit,Title,Review,Traveler_type,Families
256,cpoole62,18-Nov,Deliciousness,"We arrived in NYC this morning, checked into our hotel, and went in search of food.  After looking thru Trip Advisor, we Found 5 Napkin Burger, took a short walk, were welcomed in, and seated immediately.  Our waitress was polite and efficient. My husband and...More",Solo,
257,Dana S,18-Apr,Super Cute Atmosphere,"This is the first restaurant that my husband and I ate at when we arrived to NYC. We wanted something casual but nice and this place did the job, The atmosphere was great!",Families,
258,IanReds000,18-Nov,Evening with family.,"Great experience we walked in and was given a buzzer as there was a 30 minute wait, went to the bar served straight away very friendly and knowledgable about the drinks I asked about. We were served by Jamie, she looked after us very well.",Families,
259,MarkB8140,18-Nov,Post Marathon meal,We visited last night to celebrate one of our family completed the marathon. After being ignored at the bar for ten minutes we were comforted by the worst bartender I have every encountered. He was rude and became aggressive when we had a simple question...More,Business,
260,gr_goirej353,18-Oct,"Nice place to eat, in particular burgers !","Nice place, good meals, especially burgers ! Around 15$, you have to order side dishes like sweet potatoes (6$) which is prepared for 2.
Music is a bit loud. The waiter was perfect, very kind and discreet which is not so frequent in New York....More",Friends,
261,Hannah R,18-Nov,Great burger,A colleague in the UK had recommended this place and she was not wrong. The burger was delicious and generous portions. We really enjoyed ourselves. Service was good as well.,Friends,
262,MMMH,18-Oct,Upmarket Burger,"We absolutely loved 5 Napkin Burger! This restaurant is located on 9th Avenue and 45th in Hell’s Kitchen so, while easily accessible from Times Square/Broadway, it is not touristy and is full of locals which is always a good sign. 

The first night we visited...More",Business,
263,Martin R,18-Oct,An awesome burger establishment in Manhattan - NYC.,"Had dinner with a colleague at ""5 Napkin Burger"" whilst staying in Manhattan and I must say the whole experience was just awesome.  Located in an old butchers store the place had great character, (meat hooks hanging from ceiling), great decor and ambiance and of...More",Friends,
264,overtimetravel,18-Nov,Top 5 Burger in NYC,"Want a Great Hamburger? I highly recommend 5 Napkin. Especially the 5 Napkin Burger itself with the Aioli. Can’t go wrong. For the women, they created the Salad Burger with no bread. Modern decor is also very cool. Enjoy!",Couples,
265,Jet00922192409,18-Oct,I never had so bad service before !,"10/30/2018 We visited this restaurant to celebrate my cousin birthday.
I made reservation day before, the next day we came a little bit early. The restaurant was fully occupied, the waiters was busy. That’s ok 
We ordered food, the salads was ok(3-)
I like the...More",Families,
266,PremPod,18-Oct,Burger,I am getting on a bit and like my food. I have just had the best burger I think I have ever had - amazing and two more in my party agree - we had the 5 Napkin burger was amazing - my wife had...More,Solo,
267,LBReed68,18-Oct,Great Burgers in a Loud Crowded Space ,"I understand that space is at a premium in NYC and all businesses must use that space to a maximum efficiency.  I don’t appreciate other patrons hovering over us like vultures waiting for the carrion to be cleared from our table, especially while I am...More",Solo,
268,bonegary64,18-Oct,Great Burger and service (even Gluten Free),"This restaurant was always busy and for good reason.
The service was prompt
Food reasonably priced (approx $12-$18 for good size burger that tasted like meat unlike some other places)
Very good experience on both of our visits to 5 Napkin Burger on 9th Avenue...More",Couples,
269,morgan739,18-Sep,Bad experience with a waiter,"We came across the restaurant on the off chance, we had to wait about 20mins for a table as the restaurant was full, while waiting we went to the bar to order some drinks which was a battle as everybody was sitting at the bar...More",Solo,
270,Andy B,18-Oct,Great burger,"Ate here a couple of nights back and despite being a bit of a stroll from the hotel it was well worth the walk. Now I am a massive fan of Honest in London and I really struggle to find a burger to match, but...More",Families,
271,UkWorldtravellerplus,18-Oct,American diner at its best,"Fantastic service and really good food. Portions very large, especially nachos starter could easily have fed three people.  Sweet potato fries a bit hard.",Business,
272,Y299IVandrewh,18-Oct,Awesome Burger,"We were walking back to the hotel about 6pm and passed by this place which was full, always a good sign. We did some research on TripAdvisor and went back later that night and we are so glad we did.  

We all ordered burgers and...More",Couples,
273,Explore702853,18-Oct,Evening dinner & Drinks,It was a great place food was fantastic beer and cocktails to die for plus staff went above and beyond wish we had one where we live .,Business,
274,Jamie H,18-Oct,Burgers to die for,"Best burger I have ever tasted. Good service, great location. Nice setting, music a touch loud. Good choice of beer/cider. Will be back next time I’m in New York",Families,
275,1122steven,18-Oct,Post-concert bite to eat ,"Typical American food, with burgers and other sandwiches. Friendly server and clean dining area. Affordable place to eat right on Broadway",Business,
276,Boaz B,18-Sep,"Good food, press service","Every time we are in New York we eat at least once in 5Napkin
We are already well versed in our experience and therefore make sure to book in advance
It must be noted that the table we wanted was waiting for us in time...More",Couples,
277,anneliefr1,18-Oct,Great burgers,"Definitely one of the best burger place. 

Tried the avocado burger - really good. The tuna burger is another tasty choice. 

Could be a good idea to make a reservation  if you’re more than 2.",Business,
278,SherrieARC,18-Oct,Gluten Free Bun,It never ceases to amaze me the people that look at me like I’m crazy when ask if they have a gluten-free option. 5 Napkins was right on point with a delicious fresh gluten-free bun. The side of brussels sprouts was quite tasty and though...More,Business,
279,azkrys,18-Oct,Great (not cheap) food and drinks ,The chorizo dog at happy hour is excellent - you’ll probably want some fries to go with it. Chocolate shake with Kahlua is legit.,Solo,
280,Candiana,18-Aug,Wish I had found this place sooner,"Thoroughly enjoyed our family meal at 5 Napkin Burger. I wasn’t in the mood for burgers, and was pleased to find other options that very much impressed. My husband LOVED his, and this children’s burger would’ve been more than accceptable served to adults. My kids...More",Friends,
281,Venture56437,18-Oct,"Great place, great food, great service",Visiting from Chicago and always stop here for dinner. Nickquae waited on us and she was outstanding.,Business,
282,MsLisaS,18-Oct,Yummy!,"Great upscale burger joint!  Love the dill pickles served at the table. Burgers were fantastic, staff was friendly, restaurant clean.",Solo,
283,komo5,18-Oct,Awesome burgers and service,"5 of us dined here for lunch recently and the service and meal was terrific.  Without a reservation on a very busy Saturday we had a brief wait at the bar, but 2 for 1 mimosas made the wait very enjoyable. Honestly, the burger with...More",Couples,
284,netherd,18-Oct,A very good place,We found this place on TripAdvisor and i can say without any doubt that is really good. The burgers aren't particularly big but very tasty and with not too much cheese. French fries are good as well . The only problem is that the people...More,Solo,
285,Marla R,18-Sep,Great moderately priced dinner in NYC,We went here before a concert and on a recommendation and was not disappointed. Great when you want table service and don't want to spend a lot of money. Burgers were great as well as the fries and sweet potato fries. I had the special...More,Business,
286,Julessyd,18-Oct,Great burger and great service,"Had the lobster rolls which were gluten free and partner had bacon burger. Both were very good.
Service was good also without being in your face.
Pineapple margheritas were excellent. All in all a great evening. Very nice ambience as well.",Solo,
287,Milkshake26,18-Sep,Good place to have dinner before broadway show!,I went there with my mother and had avocado burger and California roll. The burger was big enough to excites me and the california roll was also delicious. Staffs there were all kind and fun so we could spend nice time. I would like to...More,Business,
288,BasharAlaeddin,18-Sep,Heavy Duty Burgers,"The service was excellent. The burgers are heavy though especially the famous 5-Napkin burger with caramelized onions, only had half of it, couldn’t finish it. The wings were very good and the made-to-order guacamole was very delicious. keep in mind the burgers don’t come with...More",Solo,
289,Robbe D,18-Sep,"Amazing, beautiful burgers","Thanks so much for reviewing your recent dining experience at 5 Napkin Burger! We appreciate your honesty, as we're always looking for ways to improve. We value your opinion & hope to see you again soon.",Families,
290,baseballmom11_10,18-Aug,Great food and fun place,"Wow, just wow. Go there. Or be square. There is nothing more to be said. Juicy lovely burgers with nice fries. A little bit more expensive than fastfood but SO GOOD.",Families,
291,ddzKC,18-Sep,"Good food, okay service","My daughter and I had a great dinner - burger was done to perfection and the fries were awesome!  Also, had some california rolls and the service was friendly and fast.",Couples,
292,kevinv877,18-Sep,Great Burgers and More!!,Portions are huge - burgers are huge. Come hungry. Food was good. Service was very slow. Sat outside. Tables are small but great people watching at this location near Times Square.,Couples,
293,Venture793986,18-Sep,Walking home and hungry,"The restaurant name itself makes you hungry for a juicy burger.  You can definitely order one of those, plus lots of other great eats!!  One person in our party actually got the signature 5 napkin burger, it was an awesome site to behold.  See pic...More",Solo,
294,chidiononuju,18-Sep,Dinner ,"We didn't plan to eat here, but while walking home from another activity at 9:30 at night, we wanted something.  We were seated immediately, if casually, and had good service.  We chose a selection of appetizers and sides instead of the burgers (which looked awesome,...More",Couples,
295,j0hnindc,18-Sep,"Great burgers, okay service ",Pretty decent meal. Enjoyed the waffle. Very pleasant staff. You may want to try the Lobster Sliders. They also have a Tuesday $20 per bottle on select wines.,Business,
296,mikeytoms,18-Sep,great burger and service,Burgers were great. Blue cheese and mushrooms was the winner in our group. Fries were very good. Service was just okay. Reasonable beer selection and two-for-one mimosas were a plus.,Couples,
297,Sebastien B,18-Jul,"Great food, very average service (sometimes)...",Stopped here before we went to a play.  The burger was too notch and the service was great.  We told them we were going to a play and everything came out on time.    thanks !,Solo,
298,Jlmglm,18-Sep,Delicious Food Great Service,"I always go to this place whenever I visit NY but I was very disappointed this last time I came this Tuesday 31st July lunch time... 
I was seated outside and I had to go back and remind the waiters a few times (even to...More",Friends,
299,Michaelkasperski,18-Sep,Damn good burger! Wow!,"In an area with lots of choices we were glad we made this one.  The burger was very good. There was variety in the choices. We had the 5Napkin, and Avacado burgers and were both pleased. 
We also enjoyed the signature drink a Frozen Moscow...More",Solo,
300,CarolB789,18-Aug,"Wonderful Burgers, great bar!","Okay I have to admit we Grub Hubbed the burger and it was still GREAT. The fry’s had a great flavor to them. The burger, amazing! I can’t wait to try it in the restaurant. Yes, yes, and YES!",Friends,
301,viko95,18-Sep,A good surprise. ,"Great selection of flavors, and well presented - best burgers EVER!
Was very busy, but the staff were attentive when needed to be, and very friendly!",Business,
302,YeoMatt,18-Aug,Possibly one of the best burgers I've had!,We find out this place thanks to TripAdvisor because it was really close to our hotel. It’s was a really good surprise. We liked the environment and the service. The quality of food was good and there was a good proportion between quality and cost....More,Families,
303,andrewsF4736YL,18-Sep,Dinner,"Found this place using Yelp as we fancied a burger and we have to say this was one of the best places we went to eat at. Really tasty food and the staff were very attentive and helpful. 
Ask for recommendations as they were both...More",Business,
304,mvsv6366,18-Aug,"Great Food, Poor Service",Excellent food and atmosphere. I had the Lamb Kofta Burger and shared a portion of fries. The food and two beers cost just under $30. Not the cheapest but you are paying for top quality burgers. Definitely recommend,Friends,
305,arless p,18-Aug,"Great service, excellent food!","Visited on Saturday night 8/11. I had the chicken wings and my husband a burger. Both really, really good.
Service however was poor. The place was not that crowded and G.., our waiter only said hello to us an took our order after a long...More",Solo,
306,Derek M,18-Aug,Very good food and very good service,"Very busy restaurant. Service staff were friendly, helpful and accurate with our order.
The burgers we enjoyed (3 in our party) were prepared as ordered , Great plate presentation, hot, and delicious.  They are worth the premium price.The pomegranate cosmo was excellent.",Business,
307,58sheliac,18-Apr,Excellent burger,"Ate here twice on a recent trip to NY with my two teenage children. First evening we were seated straight away outside. We all had the Bacon Cheddar burger with two orders of hand cut fries between three. The burgers were delicious, the fries portions...More",Couples,
308,jop202,18-Aug,Evening Meal,Burgers are unique and worth the premium price tag! I had a shrimp burger with fries that were also amazing. ~25 pp,Friends,
309,suzi1967,18-Aug,"Good food, casual atmosphere","We stumbled upon this restaurant as we walked through Hell’s Kitchen.

The restaurant was full but we were very quickly seated. We particularly liked the decor of the restaurant.

The staff were very quick to take our order and were very attentive, but not overbearing....More",Friends,
310,Emily C,18-Aug,Mary was Amazing,"My daughter loves burgers so this was a new place to try on our recent trip into the city.  The burgers were good, generous portions and reasonably priced.  We had 5:30 reservations which I am glad, it got busy very quickly and it was a...More",Business,
311,dctravel,18-Aug,Even Better Lunch Venue,We stopped here after a day trip in the city for dinner on 8/22/18. We started with drinks and then got dinner at the bar. Mary was our bartender and was excellent. She quickly took our orders and ensured we were set with drinks several...More,Business,
312,remsen,18-Aug,A Very Good Burger,"After visiting 5 Napkin Burger for dinner several months ago, my daughter wanted a burger for lunch. We happened to walk past 5 Napkin and decided to try it again. While we enjoyed our dinner there, the lunch was even better. This could have been...More",Families,
313,Absolutely70,18-Aug,Terrible Service and staff with attitude,"With restaurants, over hype and exaggerated expectations are not such a good thing. Apparently, some reviewers went expecting the best burger anywhere ever. The fact is there are a number of other places that have burgers as good or even better than 5 Napkins Having...More",Friends,
314,NoscreennamesNYC,18-Aug,Unsatisfactory customer service ,"After being recommended this place by friends who received great food
I received attitude from staff who firstly did not take my starter order.
Then as I was still was eating my starter a guy came over to give me my main.
I angrily returned...More",Friends,
315,cesareba,18-Apr,Best burger in NYC,"The food here is delicious, the customer service in my experience has been satisfactory 90% of the time I have patronized this establishment, however today, Sunday August 12,2018 at approximately between, 6 and 6:50pm-ish at the bar area, this female server/bartender,  through her displayed behavior,...More",Business,
316,G2496JRchrish,18-Jul,Didn't need 5 napkins,Nice place that I did enjoy with my wife. The food was great and I can say that was one of the best burger I ever had.,Friends,
317,ARJACT,18-Aug,A Favorite,"But the namesake burger was really good.

They had a great selection of local craft beer and my daughter enjoyed her milkshake

We didn't have a reservation but I understand they take them.  

Good service, and really good burger!",Solo,
318,DCN2012,18-Aug,Aptly Named,"This is the ideal place for very good burgers, salads and ice cream sodas.  Everything is fresh and tasty.  The restaurant is comfortable but noisy.  Service is professional.  You can sit and enjoy without being rushed. It’s a favorite with kids.  It’s a go to...More",Couples,
319,georgieporgie04,18-Aug,Good food and big desserts!,"...and order accordingly. 

Walked in and seated quickly by jovial host staff. Server was on point and did an excellent brief on their brand.

Onion rings are light, crispy and craveable. Fish (Branzino) leaves a lot to be desired.

But ooooh their burger, specifically the...More",Couples,
320,Jean A,18-Aug,Delicious!,"Burger and fries were tasty, we ordered a dessert to share which was massive! The alcoholic drinks are quite strong compared to the UK. Good service too.",Couples,
321,tigger2594,18-Aug,Good but not cheap,"We had a great dinner here.  Everything we ordered was delicious, from the ahi poke (served nacho style over house made potato chips) and the guacamole appetizers to the burgers -- we got the signature 5N, guac ranch, and truffle -- and cocktails.  Complimentary pickles...More",Friends,
322,danorat,18-Aug,"Great food, better service ","We had a great meal with 4 beers total in a packed restaurant.

We arrived around 7 And left around 9 and during this time the place didn’t have an empty seat but at the same time no queue.

We had a burger (obviously) and...More",Friends,
323,13kirke,18-Aug,Never had a chance to order,Best burgers and the service was outstanding!  Great ambiance in the restaurant.  Stopped for lunch on a NY weekend visit.. will definitely return.,Couples,
324,lipschick,18-Jul,Excellent - great Wings!!,We walked into this establishment based on reviews and sat at the bar. The first tip that the service was non-existent was the stacked up used bar glasses and plates on the bar. We cleared them ourselves since the 3 people behind the bar didn't...More,Friends,
325,JellybabyProvence,18-Aug,Lunch ,"Probably almost 10 years since our first visit, and it was better than we remember.

We had some buffalo wings for starters, gotta say that they are right up there with the best we’ve ever had.

Then it was burgers. The boy had a Buffalo...More",Friends,
326,EileenHorgan2010,18-Jul,Delicious burgers-reasonably priced,Loved the decor. Excellent service by friendly and helpful staff.  Burgers were delicious in a tasty bread bun. The brunch nachos were really good. The only thing we didn't like was that the Coca-Cola came from a machine and not a bottle.,Solo,
327,dondescough,18-Jun,Great eats between shows in Theatre District!,"Our party of 3 were lucky to get an outside table here on Monday night after 9pm. I can recommend their delicious chicken burgers, enjoyed the fires and the hamburgers were reportedly delicious too. Food was reasonably priced. We enjoyed a few cocktails- loved the...More",Solo,
328,John S,18-Jul,Just ok,My daughters and I needed food between our matinee and our evening performance- This restaurant was in walking distance with plenty of seating.  We hustled out and headed there soon after the show - because of a tripadvisor review- and made it there before the...More,Couples,
329,327annetter,18-Jul,Burger joint,"We were in NYC for one night only and looking for a good lunch near Times Square.  Went here because of the reviews but were not impressed.  It was ok, but not great.  Decent burger and loved the pickles the bring to the table.  Service...More",Couples,
330,mr_mojo_risin,18-Jul,"Great burgers, wish I had booked",The atmosphere and food was good. Service was slow but super busy and looked liked short staff.  Waiter was very knowledgeable,Business,
331,Tanyalouise,18-Jul,Pleasantly surprised.,Went early evening for family meal. Wish had booked as had to wait quite a long time for table. It was a last minute decision. They had loads of tables for 2 people but not for more. Decided to wait and glad did. The burgers...More,Business,
332,ericng37,18-Jul,Great food,"Thank you so much for dining with us at 5 Napkin Burger in Hell's Kitchen! We're thrilled that you and your family enjoyed your meal. Next time you're planning on visiting the neighborhood, be sure to book a table in advance so you won't have...More",Solo,
333,Thomas W,18-Jul,Great spot for quick bite.,We called in this restaurant for a quick bite to eat.  We hadn’t booked and although it was very busy there was only a 10 minute wait for a table.  Very nice atmosphere inside and the server was friendly and helpful.  Both the cheeseburger &...More,Solo,
334,marvina1216,18-Jul,Good food and friendly staff,"We just finished our meal, and it was fantastic. The food was amazing even though the burger itself was overshadowed by the starters. The burger bun was soaked in oil and the cheese was pretty much all over the plate. But, still an overall amazing...More",Families,
335,LewisM734,18-Jul,"Great service, good food! And vegetarian options",Arrived at the restaurant just prior to our reservation and they sat us right away no problem.  Service was friendly and prompt.  Food was very tasty and hit the spot after our flight in.  Our second time here and it did not disappoint.,Business,
336,Delanos5,18-Jul,Irene D,"We ate lunch here before a Broadway show on a Wednesday afternoon. We had made reservations, which I would recommend as it was very full. Our server was very sweet and my burger was delicious. 

We received a free dessert because it was the 12th...More",Business,
337,efexinteriors,18-Jul,This Ain't your regular Hamburger !!! WOW......................,"Visited here whilst visiting NYC. Service was friendly and professional. There are a lot of options for people with no dietary requirements and a few different options for for vegetarians. They serve the impossible burger, a plant based burger which is pretty indistinguishable from meat....More",Solo,
338,Misterpepito,18-Jul,Good value and ambiance,"Okay.. this place was fun. We went with our 3 teens and they all enjoyed the food. Burgers, chicken sandwich, salad and chicken kabobs all very good. We split the chocolate peanut butter cake. Atmosphere was loud but expected. Had that vintage urban feel. White...More",Business,
339,TMathieson,18-Jun,Not just a burger joint,"The best reason to visit this place is EVERYTHING !. The namesake burger, an unbelievably  delicious Franco-American handful, features sweet caramelized onions, Comté cheese and herb-infused aioli. And the pickles ..Mmmmmmm....Demand,  everyone at your table to ignore most of the menu, and stick to the...More",Solo,
340,HappyWondering,18-Jul,Not as good as I remembered,"If you are looking for a place in which you can have a good meal at a good price, 5 Napkin might be worth your visit. Also, a nice selection of wines and cocktails! Would advice them to make the space a bit cleaner in...More",Couples,
341,891nazaninn,18-Jul,Nice burger. ,"Our meal at 5 Napkin Burger was the best we had on our brief trip to New York.  While you can get amazing burgers (beef, turkey, veal, veggie, even impossible) you are not limited to traditional burger on a bun.  My friend and I ordered...More",Families,
342,312taraw,18-Jul,Huge Burgers,"I am usually OK with 5 Napkin, but found this visit a bit disappointing.  Uninterested staff, unexceptional food and becoming pricey.  Start of the end for the chain?",Couples,
343,KAWX2,18-Jun,Nice place away from the crowd of Times Square ,We loved the food and the place. Good service and great location. worth the money spent. will go back for all day breakfast.,Business,
344,L5249JJkevint,18-Jun,Stupidly noisy. I said STUPIDLY NOISY FFS.,"Burgers were delicious! The restaurant was very loud and crowded and I had a hard time hearing our server. All of the food was very good, though. Got milkshakes to go and they were also delicious!",Business,
345,zoesbob,18-Jun,Fair,"We visited 5 Napkin Burger after a recommendation from the concierge at our hotel. Great experience, good food, excellent service. It is indeed noisy.",Solo,
346,tmc-Arizona,18-Jun,"Good food, okay service",We arrived. We shouted at the reservations girl. She shouted at us. We sat at our table. The waiter shouted at us. We shouted at the waiter. We left.,Families,
347,joev5638,18-Jun,Recommended by our cabbie,"Not as good as reviews 
I don’t know what 5 star reviewers are used to but this was disappointing 
Burger on dry side asked for pink inside got grey
Fry less than average
Got this place off my to do list",Solo,
348,rarouesty,18-Jun,Great Burgers,"The food was very good, not great, but very good.  My wife ordered the Greens & Grains salad which was tasty - recommend ordering extra dressing.  I ordered the Classic Cheese Burger, also very tasty.  The meet was fresh and cooked to order.  I ordered...More",Friends,
349,stuartled,18-Jun,Best Veggie Burger is AlL Time,"The cabbie who brought us in from Newark recommended 5 Napkin Burger.  Since we were near it, we tried it out.  While it was a bit pricey, the fact that everything was amazing made it worth it all.  The burgers were great, the pickles they...More",Couples,
350,G7394HIalex,18-Jun,Food ok. Mouse not so good,"Great place to enjoy a delicious burger after a Broadway show.The service was good,we enjoy the turkey and beef burger,the onion rings are crispy and delicious",Business,
351,triciatravels1983,18-Jun,"Great food, terrible service ",Went with my son to 5 Napkin Burger. It was the first time either of us had ever been to any of their locations. They happened to be celebrating their 10th anniversary at the time. Our waitress arrived promptly and refilled our Diet Cokes over...More,Families,
352,alanwG7805RD,18-Jun,Best burger I’ve had!!,"The food was ok. During my meal I saw a mouse run across the floor. I reported it to a passing waitress. She came back and said it had been reported to the general manager. End of story, nothing more was said or done. I...More",Solo,
353,Peter V,18-Jun,impossible burger and fries,"Was really looking forward to trying this place. We ordered guacamole for an app, and we split the bacon cheeseburger. I ordered a Diet Coke, husband got a water. About 10 min after we placed our order, someone put the burger on our table and...More",Friends,
354,cfcgaza,18-Jun,Excellent Discovery ,"You’ll pay for it ... but, I was completely surprised by the burger ... absolutely delicious!!

Try the classic 5 Napkin burger",Business,
355,Aloha J,18-Jun,Incredible late-night burgers!,I did order an impossible burger with fries. all very good. Portion of fries was quite big. also had very good cheesecake for dessert. nice place. and very crowed so I was not the only one to think so.,Solo,
356,I1290PUbrandonh,18-Jun,Great Burger,"Stumbled across this restaurant on our last night in New York..what a find!! Great food, good ambiance in the restaurant, friendly staff( which was a rarity in nyc unfortunately) and reasonably priced too-my only criticism would be that you have to order your fries separately,...More",Couples,
357,JamesM45,18-Jun,Superb,"We were there two days ago and had absolutely amazing late night food! The burgers ""mushroom blue"" and ""avocado ranch"" are highly recommended! The cocktails were also outstanding! We had the ""watermelon rhubarb"" and the ""rum swizzle punch""! Also a nice treat are the offered...More",Couples,
358,kenwilliams999,18-May,Good food - good mood,"Went with my teenage daughter and our server was awesome. I got the Guacamole Ranch burger but I wanted to add bacon. Asked Ivan and he said “you can add bacon to anything”, which is now my daughters favorite saying. Burger was great, also got...More",Couples,
359,NCtravelerWS,18-Jun,Disappointing,"Wanting a genuine New York eating experience we knew  Hells Kitchen was the place and 5 Napkin Burger didn't disappoint. Tasty from top to bottom, excellent and attentive table service and a sublime dessert.",Families,
360,GlendaP674,18-May,Late afternoon lunch with friends,"We wanted a quick meal during the afternoon. This place was easy to get to from our hotel. Good vibe, nice place, friendly staff, great service, people enjoying. We did book beforehand and glad we did as it was busy. The menu is delicious, lots...More",Friends,
361,coling549,18-Apr,Best burger...ever!,"So, we came here for great pre-theater burgers.  Service was friendly but lacking detail.  Had to ask for silverware.  Burgers were ordered medium-rare and medium.  The medium rare came out well done, and the medium was medium-rare.  Fries were cold and limp.  The Asian salad...More",Solo,
362,K8508NDstever,18-May,Great food and location,"We stopped here for a late lunch. We decided to split an order of guacamole, a lamb burger and a side of hand cut fries. All three items were fabulous. The lamb burger was juicy and flavorful. It may have been a bit over cooked...More",Solo,
363,Zadel93,18-May,Great burgers and beers,"Can honestly say that this is the finest burger I have ever tasted. Juicy, cooked medium with all the usual suspects on top…cheese, bacon, onions, relish etc. No wonder the place is called 5-napkins…you need at least that to keep yourself clean! Nice bar to...More",Business,
364,Northern_Traveler00,18-May,Always good,"We walked into this restaurant during a Memorial Day weekend stay in NYC.  No reservation, but we were seated at a nice booth by a window. 

Outstanding burgers and we loved the truffle fries.  We’ll definitely go back on our next visit!   Highly recommended.",Families,
365,okjunga,18-May,Great burgers with local feel,"This place is great!

It's busy, but we went twice and had a table between 15 minutes. The first time however we decided to eat at the bar because that was nice as well. 

I can recommend the 5 Napkin Burger and the grilled chicken...More",Couples,
366,parislpn,18-May,Juicy Burger,"Went back to 5 Napkin on Sunday night as we had limited time between a late matinee and an early night time show on B'way.  Had a 5:45PM reservation and they seated us right on time.

Quickly noticed that in the 2 years since we'd...More",Solo,
367,stiepany,18-May,Poor Restaurant,"We stumbled upon this restaurant on our way from our hotel to ""Restaurant Row"" when we arrived in NYC. We are so glad we did as I'm sure it was better then what we would have found there. It was around 9pm and the place...More",Couples,
368,Mae M,18-May,A good place for a good burger,Great burgers always a great stop for lunch or simple dinner. Super clean with friendly and helpful staff.  This place never disappoints!,Business,
369,383eugenioc,18-May,Bad service,"We heard a lot of this Burger chain and checked it out on May 24th: the meat was boring, no spices, the bin wasn‘t good either and the „handmade“ fries were only full of fat! In total we had two burgers, two Martini-Cocktails and one...More",Couples,
370,MargieM353,18-May,Excellent Burgers!,"I found this restaurant on Trip Advisor. I was looking for a place that was near the High Line Park. It was not that close and we took a city bus to get to this restaurant in Hell's Kitchen.
We were there on a Tuesday...More",Friends,
371,azzabar,18-May,Did Not Stay,they made us wait at a table for 10 minutes and then force us to get up and go to ask for a shift. Then they tell us that one waits at the table and another goes to ask the lectern to finally throw us...More,Families,
372,philsworld,18-May,Best burgers ever.,"We grabbed dinner here before going to see Springsteen on Broadway.  We ordered burgers, one cheeseburger and one bacon burger, as well as a side of fries (had to buy separately, but the serving was enough for both of us).  My husband also had a...More",Solo,
373,PH_994,18-May,One of the best burgers ever,We stopped in for dinner and were quickly seated. The places as hot as an oven. The week we went up NYC hit the eighties so there was a need for AC not heat. We looked through the menu and began wondering where our server...More,Business,
374,john3994,18-May,Got to be the best burger,"Waited a few minutes for a table, watching all the people eating, couldn't wait . \we ordered   the triple with french fries etc. The burger was big and juicy the fries lightly salted and golden. Certainly a big and delicious burger ,best ever . The...More",Solo,
375,stev16,18-May,Gluten Free,We were lucky to come in here at around 10.30pm and not have to queue for a table (despite the place being full). We'd consider ourselves big burger fans (with high standards!) and 5 Napkin really ticked all the boxes.,Friends,
376,wandermom321,18-Mar,Delicious burgers!,"Tried this place one evening.
Very busy and booking would be advised.
Without doubt the 5 napkin burger was just about the best I've ever eaten.",Friends,
377,395marniej,18-May,So good!!!,"The Hells Kitchen 5 napkin burger was awesome. Not only is there gluten free burger buns available and wait staff that understand Coeliac disease, but they have Gluten Free Beer!!! The burgers are yum too!",Families,
378,dawnfromseattle,18-May,Reservation...really.,"The Hell's Kitchen location for 5 Napkin Burgers is great - easy to find, and close to Times Square, Broadway, and other major midtown attractions.  We went for lunch on a Saturday and used Open Table to reserve a table.  We were seated almost immediately...More",Business,
379,Toni740,18-Apr,We'll be back,"This was a great place for a dinner. Good food, friendly staff. I recommend the 5N burger- it’s big but it’s yummy.",Couples,
380,duchovs19,18-May,Good burgers,"This place gets packed so make a reservation. It's close to the Broadway shows so.. 

It's an attractive setting.

The food came out of the kitchen quickly. Everything was delicious and interesting. They have unique spins on all their dishes. One of their side dishes...More",Families,
381,icandelaria,18-May,Pre show food,There are five locations in NYC ... we went to the Hell's Kitchen site as it was a mere two blocks from our hotel. Our first time there and it had been highly recommended by friends. This was to be a dinner before the Billy...More,Families,
382,TheTabascokid,18-Apr,"Gets very busy at night but if alone, eat at the bar.","Stopped here for dinner one night. Primarily a burger place which is just what we fancied. I’d definitely recommend the seared tuna burger, it was delicious and perfectly cooked. My family enjoyed their burgers too. Reasonably priced and yummy fries. Lovely staff, they work really...More",Couples,
383,Jeffe247,18-Apr,Very good Burger ,"Albeit being highly praised in tripadvisor, I have to disagree on the quality of this place.
I went there with some friends and despite being told that it would about 15 to 20 min to be seated, reality is that it took about an hour...More",Families,
384,DEkholm,18-Apr,"No Food Review, No Server","I turned up, hoping to be squeezed in somewhere and was told of a 45 minute wait unless I wanted to try to squeeze a seat at the bar, among the waiting masses. It proved to be the right choice as the food arrived quickly...More",Friends,
385,enrico l,18-Apr,Number 1,"Went on my last night in New York to the one in union square 14th Street , nice restaurant with friendly staff , I ordered the Nacho Starters which were really nice and there was enough for at least 4 people , my  main was...More",Business,
386,Fred-trips-atw,18-Apr,Great Burger,"I wish I could have tried a burger. We were seated outside(it was a week night). We sat for 15 min, and no one ever came to bring water or take our order. We had a play at 7, we left and went next door...More",Families,
387,james_r_uk,18-Apr,Super tsdty,"I like very much ,for me is one of the best hamburger in New York. 
I come every time. 
I suggest you to come
Super",Business,
388,pecheurdetruite,18-Apr,Burgers cannot get better,"The five napkins burger is worth the visit, the flavor is there. A nice selection of beers from local brewers to international brands.",Friends,
389,kathytuchman,18-Apr,Best burger in NYC,"We ate at 5 Napkin Burger for the first time last night and both really enjoyed our food. We both had the 5 Napkin Burger which is a 10oz patty, cheese and sauce. Service was friendly, quick and efficient - we would return.",Couples,
